country,name,gppd_idnr,capacity_mw,latitude,longitude,primary_fuel,commissioning_year,error_flags,anomaly_score,is_anomaly
BRA,Cerro Chato II (Antiga Coxilha Negra VI),BRA0030349,30.0,-30.8485,-55.6856,Wind,2011.0,,0.049,False
GBR,Wick Lane Solar Ltd,GBR0005536,2.8,51.2698,-2.9624,Solar,,,0.1902,False
SVK,Orava Hydroelectric Power Plant Slovakia,GEODB0042652,,49.3756,19.557,Hydro,,MISSING_CAPACITY,0.1801,False
CZE,Točník Solar Power Plant,WRI1029555,2.0,49.4209,13.3036,Solar,,,0.1871,False
CHN,Heilongjiang Hailin Weihushan Wind,WRI1071858,45.0,44.9168,129.0405,Wind,,,0.0909,False
BGD,Barupukuria ST 1,WRI1029206,250.0,25.5502,88.9527,Coal,,,0.0734,False
USA,Laurinburg Solar  LLC (Heelstone),USA0060200,2.0,34.7076,-79.2954,Solar,2016.0,,0.1781,False
CHN,Dalikoucun A,WKS0073235,35.0,11.3822,-22.3995,Solar,,OCEAN_COORDS,0.1032,False
IND,SERVALAR,IND0000399,20.0,8.6895,77.3048,Hydro,1986.0,,0.0946,False
USA,B.R. Corcoran CSG,USA0061453,5.0,45.0695,-93.6432,Solar,2017.0,,0.1711,False
BRA,Salto Góes,BRA0030338,20.0,-27.1044,-51.2861,Hydro,2012.0,,0.0867,False
RUS,Novosibirsk CHP-4,WRI1061823,384.0,55.1,82.9894,Coal,,,-0.0015,True
USA,Talcville,USA0007583,1.1,44.3083,-75.3083,Hydro,1986.0,,0.1808,False
MYS,Tawau Power Station (SESB),WRI1000274,64.0,4.2826,117.888,Oil,,,0.0539,False
UKR,Dniester (pumped storage),WRI1005116,648.0,48.5136,27.4733,Hydro,,,0.0289,False
GBR,Tiln Farm solar park,GBR0002356,8.0,53.3468,-0.9294,Solar,,,0.1805,False
FRA,Vaugris,WRI1026734,72.0,45.495,4.826,Hydro,1980.0,,0.1598,False
ESP,CIJARA M. DCHA. 1,WRI1006357,50.4,39.3711,-5.0166,Hydro,1980.0,,0.1619,False
FRA,Saint-Maximin-la-Sainte-Baume,WRI1025525,1.31957,43.451,5.8594,Solar,,,0.1895,False
USA,RP Wind,USA0058630,3.4,40.4494,-83.8933,Wind,2014.0,,0.1828,False
FRA,Saint Georges de Commiers,WRI1026729,60.0,45.006,5.687,Hydro,1964.0,,0.1687,False
USA,Union Falls,USA0050176,2.6,44.5107,-73.9131,Hydro,1987.0,,0.1816,False
IND,NPKSP} Tata NSM-P2B3,WKS0068724,100.0,14.041,78.43,Solar,,,0.0897,False
ARG,GOYA,ARG0000121,1.33,-29.1388,-59.2277,Oil,,,0.0684,False
USA,Capella Community Solar,USA0061178,4.5,44.0901,-96.1612,Solar,2017.0,,0.1714,False
BRA,Santa Edwiges III,BRA0028182,11.6,-14.3717,-46.2914,Hydro,2009.0,,0.1066,False
CHN,Wulataixiang G,WKS0070267,200.0,42.248,93.886,Solar,,,0.0801,False
CHN,Qianshan Jiujinggang,WRI1072007,20.0,30.8038,116.4636,Hydro,,,0.1305,False
CAN,Calstock,CAN0007719,38.0,49.7456,-84.0736,Biomass,,,0.1441,False
IND,Dhabla Sondhya Solar Power Plant,WRI1026133,28.2,23.8267,75.8988,Solar,,,0.1287,False
FRA,Cast,WRI1024507,10.0,17.3379,-20.5561,Wind,,OCEAN_COORDS,0.1257,False
CHN,Sichuan Muli Ninglang,WRI1071667,114.0,28.0637,100.5164,Hydro,,,0.1012,False
CAN,Wainwright Falls,CAN0008516,,49.8217,-92.8763,Hydro,,MISSING_CAPACITY,0.1528,False
FRA,Argenteuil,WRI1024458,10.3,48.9518,2.2406,Biomass,,,0.1945,False
FRA,Mauguio,WRI1025238,2.19399,43.5931,4.0046,Solar,,,0.1918,False
GBR,Arla Dairy Site,GBR0004906,5.0,51.8206,-0.7382,Biomass,,,0.1927,False
NOR,Tevla,WRI1003566,60.0,63.3904,11.9106,Hydro,,,0.0684,False
CHN,Hebei Chongli Honghualiang,WRI1071835,49.0,40.5743,115.28,Wind,,,0.1327,False
USA,Klamath Cogeneration Plant,USA0055103,501.5,42.1739,-121.8106,Gas,2001.0,,0.0142,False
ESP,PARQUE EOLICO RIO ALMODOVAR,WRI1007624,16.5,36.1949,-5.7634,Wind,,,0.173,False
GBR,Inner Sound Phase 1A (MeyGen),GBR0002436,6.0,58.7418,-3.116,Wave and Tidal,,,0.1377,False
FRA,Vals-près-le-Puy,WRI1025179,2.41679,45.0229,3.8652,Solar,,,0.1907,False
